   75162.00000       7.24962       7.25688       7.31437 	       7.25076       7.25035       7.31054       7.31543 	       7.34144       7.33726       7.25799       7.24985 	       7.25914       7.25963       7.26397       7.26501 
   76162.00000       7.53508       7.54262       7.59876 	       7.53672       7.53551       7.60435       7.60113 	       7.63363       7.62264       7.54669       7.53508 	       7.55015       7.54881       7.55652       7.55534 
   77162.00000      11.41717      11.42860      11.51406 	      11.41932      11.41783      11.50824      11.51957 	      11.55042      11.55300      11.43180      11.41717 	      11.43429      11.43658      11.44221      11.44532 
   79162.00000      10.42923      10.43966      10.51655 	      10.43303      10.44074      10.50366      10.52626 	      10.55475      10.56142      10.45610      10.43360 	      10.45636      10.46668      10.47499      10.48403 
   80162.00000       7.02717       7.03420       7.08889 	       7.02872       7.02784       7.08869       7.09023 	       7.11993       7.11100       7.03886       7.02742 	       7.04071       7.04088       7.04759       7.04740 
   82162.00000      17.06535      17.08242      17.19967 	      17.07223      17.06635      17.18632      17.22436 	      17.25631      17.28309      17.10605      17.06535 	      17.11413      17.13247      17.14236      17.16372 
   83162.00000       8.93993       8.94888       9.01527 	       8.94102       8.94046       9.01772       9.01795 	       9.05484       9.04219       8.94790       8.93993 	       8.94935       8.94975       8.95385       8.95439 
   85162.00000      10.30609      10.31640      10.39014 	      10.30782      10.30710      10.41205      10.40765 	      10.41931      10.43018      10.31850      10.30609 	      10.32389      10.32637      10.32511      10.32964 
   88162.00000      35.88327      35.91917      36.16735 	      35.89322      35.88500      36.17745      36.26408 	      36.09872      36.33651      35.95421      35.88327 	      35.96484      36.01674      35.94301      36.03486 
   89162.00000       3.28575       3.28904       3.31332 	       3.28628       3.28616       3.32741       3.31592 	       3.33215       3.32370       3.28960       3.28589 	       3.29238       3.29114       3.29313       3.29213 
   90162.00000       4.47146       4.47593       4.50998 	       4.47164       4.47176       4.52108       4.51418 	       4.53227       4.52341       4.47281       4.47146 	       4.47352       4.47304       4.47398       4.47366 
   93162.00000      54.16692      54.22112      54.52887 	      54.19414      54.16933      54.56811      54.62218 	      54.65607      54.77232      54.30882      54.16692 	      54.36842      54.37117      54.41259      54.45354 
   94162.00000       5.47064       5.47612       5.51707 	       5.47064       5.47096       5.53244       5.52543 	       5.53599       5.53680       5.47064       5.47064 	       5.47064       5.47064       5.47064       5.47064 
   95162.00000      68.17841      68.24662      68.60185 	      68.21599      68.18093      68.61610      68.74756 	      68.89989      68.91121      68.35838      68.17841 	      68.41966      68.46505      68.57609      68.55373 
   96162.00000      14.36084      14.37521      14.46922 	      14.36357      14.36144      14.50107      14.50807 	      14.51309      14.53549      14.37528      14.36084 	      14.38751      14.38549      14.38979      14.39035 
   99162.00000      16.81693      16.83376      16.94518 	      16.82401      16.81767      16.96447      16.97110 	      17.01591      16.99182      16.86168      16.81693 	      16.87900      16.87612      16.90063      16.87580 
  101162.00000      10.74253      10.75328      10.82793 	      10.74658      10.74346      10.84744      10.84801 	      10.87736      10.86947      10.77137      10.74285 	      10.78210      10.78751      10.79339      10.79430 
  102162.00000      13.26037      13.27364      13.36424 	      13.26520      13.27434      13.37821      13.40019 	      13.40577      13.42613      13.29477      13.26520 	      13.30331      13.32261      13.31335      13.33009 
  104162.00000       8.03891       8.04695       8.10531 	       8.04069       8.03974       8.12181       8.11620 	       8.14121       8.13509       8.05210       8.03914 	       8.05730       8.06029       8.06160       8.06399 
  105162.00000       8.84467       8.85352       8.91818 	       8.84467       8.84517       8.93267       8.93294 	       8.94840       8.94961       8.84467       8.84467 	       8.84467       8.84467       8.84467       8.84467 
  108162.00000      48.89939      48.94832      49.27398 	      48.91294      48.90167      49.24690      49.36763 	      49.16385      49.48653      48.97765      48.89939 	      48.99566      49.01823      48.97264      49.05965 
  109162.00000      13.94496      13.95891      14.06339 	      13.94496      13.94607      14.06629      14.07992 	      14.08708      14.11099      13.94496      13.94496 	      13.94496      13.94496      13.94496      13.94496 
  110162.00000      37.44255      37.48002      37.69154 	      37.46161      37.44421      37.73748      37.75709 	      37.86340      37.84282      37.54185      37.44255 	      37.59267      37.58595      37.65676      37.62549 
  112162.00000       9.45027       9.45972       9.52572 	       9.45200       9.45109       9.54711       9.54170 	       9.56625       9.56195       9.46148       9.45058 	       9.46804       9.46542       9.47155       9.47090 
  115162.00000      36.63987      36.67654      36.88734 	      36.66224      36.68890      36.94039      36.97945 	      37.02237      37.05114      36.77526      36.67395 	      36.82318      36.84689      36.87320      36.88330 
  116162.00000      52.45914      52.51162      52.79353 	      52.48828      52.46479      52.89698      52.94685 	      52.95321      53.04395      52.61403      52.46207 	      52.70230      52.72910      52.73352      52.77135 
  120162.00000      30.89209      30.92300      31.12515 	      30.89735      30.89488      31.13804      31.18475 	      31.19379      31.25241      30.92634      30.89209 	      30.93397      30.94624      30.94345      30.95277 
  121162.00000      21.64489      21.66655      21.81328 	      21.64990      21.64652      21.81484      21.84928 	      21.90129      21.90618      21.67738      21.64489 	      21.68426      21.69392      21.70429      21.71397 
  122162.00000      15.26174      15.27701      15.37114 	      15.26695      15.26395      15.41700      15.40114 	      15.45001      15.43227      15.29339      15.26303 	      15.31471      15.30791      15.32597      15.31564 
  123162.00000      18.46674      18.48522      18.59499 	      18.47507      18.47031      18.65687      18.63163 	      18.67981      18.66945      18.51465      18.46970 	      18.55247      18.53638      18.56281      18.54929 
  124162.00000      27.01110      27.03812      27.21486 	      27.01970      27.01299      27.23466      27.25741 	      27.30546      27.32068      27.06702      27.01110 	      27.08224      27.08689      27.10476      27.10465 
  127162.00000      33.84625      33.88012      34.10090 	      33.85536      33.84854      34.09088      34.16957 	      34.19286      34.23924      33.90232      33.84625 	      33.91206      33.93987      33.93950      33.95115 
  128162.00000      13.97253      13.98651      14.07971 	      13.97525      13.97472      14.11339      14.10015 	      14.13649      14.13268      13.99076      13.97370 	      13.99992      13.99702      14.00440      14.00185 
  131162.00000      35.84112      35.87698      36.08252 	      35.85469      35.84362      36.15339      36.17720 	      36.18985      36.24530      35.91344      35.84112 	      35.95923      35.96857      35.97301      35.98435 
  132162.00000      23.53928      23.56284      23.72116 	      23.54408      23.54109      23.71939      23.75875 	      23.81718      23.81839      23.57119      23.53928 	      23.57599      23.58449      23.59592      23.60340 
  134162.00000      18.78407      18.80287      18.93362 	      18.78662      18.78558      18.94291      18.95810 	      18.98194      19.00534      18.79996      18.78407 	      18.80560      18.80844      18.81089      18.81527 
  136162.00000      12.37532      12.38770      12.47321 	      12.37708      12.37639      12.49378      12.48919 	      12.52697      12.51894      12.38691      12.37532 	      12.39217      12.39159      12.39689      12.39532 
  137162.00000      18.21826      18.23649      18.35921 	      18.22046      18.21977      18.37105      18.38683 	      18.43941      18.43257      18.23151      18.21826 	      18.23670      18.23532      18.24495      18.24426 
  138162.00000      32.57415      32.60675      32.80408 	      32.59081      32.61021      32.83834      32.88564 	      32.89090      32.95255      32.67925      32.59278 	      32.70910      32.73986      32.73594      32.76877 
  139162.00000      11.26120      11.27246      11.34994 	      11.26321      11.26211      11.37427      11.36424 	      11.40415      11.39208      11.27530      11.26120 	      11.28140      11.27943      11.28674      11.28591 
  140162.00000      13.46789      13.48137      13.56825 	      13.46837      13.46908      13.60636      13.59207 	      13.62303      13.62240      13.47084      13.46789 	      13.47282      13.47136      13.47341      13.47280 
  143162.00000       4.07423       4.07831       4.11206 	       4.07423       4.07452       4.11069       4.11307 	       4.13540       4.12257       4.07423       4.07423 	       4.07423       4.07423       4.07423       4.07423 
  145162.00000       8.19022       8.19841       8.26732 	       8.19022       8.19080       8.24999       8.26773 	       8.28537       8.28776       8.19022       8.19022 	       8.19022       8.19022       8.19022       8.19022 
  146162.00000      10.17459      10.18477      10.26646 	      10.17562      10.17520      10.25032      10.27427 	      10.29839      10.29707      10.18327      10.17459 	      10.18225      10.18601      10.18711      10.18858 
