44   52   61    2125.00    1667.56       4.96538      0.056632 	 0.016425	    38.44
45   53   62    4652.00    3252.27      14.15769      0.080156 	 0.036916	    54.15
46   54   63    4726.00    4308.63      22.96923      0.068745 	 0.092478	   131.89
47   55   64   17036.00    9480.08      16.98846      0.080907 	 0.063396	    25.74
48   56   65    5900.00    5178.23      11.46538      0.077339 	 0.052326	    36.60
49   57   66   10039.00    4717.93      21.90000      0.077660 	 0.092607	    70.96
50   59   70   25529.00   16888.98      12.58846      0.071369 	 0.093915	    61.90
51   60   71   33783.00   24465.09      21.53077      0.068899 	  0.12981	    18.01
52   61   72   14955.00   11387.28      17.09231      0.061433 	 0.066816	    17.10
53   62   73    5623.00    3278.59      18.77308      0.070512 	 0.049219	    30.27
54   63   74   10977.00    5536.55      19.88461      0.080162 	 0.047511	    19.34
55   64   75    9768.00    8792.41      18.69231      0.071154 	 0.075938	    53.85
56   65   76    9276.00    5491.51      16.09615      0.076718 	 0.064519	    26.33
57   66   77    9615.00    4446.79      22.92692      0.075387 	 0.067715	    47.63
58   68   79    6241.00    3559.81      12.55385      0.078529 	 0.041413	    49.58
59   69   80    8141.00    6346.49      17.82308      0.076106 	 0.083672	    39.42
60   71   82   10216.00    9751.94      13.22692      0.055078 	 0.075831	    47.86
61   72   83   18362.00   20364.35      18.60000      0.087557 	 0.070932	    40.76
62   73   85    4265.00    2730.20       4.50769      0.067204 	 0.029384	    25.78
63   75   88   16447.00    4142.29      20.26154      0.080426 	 0.085898	   209.52
64   76   89    2719.00    1767.89      13.63461      0.067844 	 0.043661	    15.04
65   77   90    4332.00    1645.70      14.64231      0.071368 	 0.036111	    42.66
66   80   93   21953.00    9601.43      27.55385      0.079892 	 0.093338	    85.80
67   81   94   18820.00    4979.38      33.93077      0.062238 	  0.11853	    25.54
68   82   95   15655.00    4472.55      14.11539      0.062605 	 0.082857	   113.50
69   83   96   10361.00    2685.05      21.44231      0.077845 	  0.10506	    67.86
70   84   99   10458.00    4078.16      22.33077      0.081452 	 0.074359	   104.69
71   85  101    1332.00     689.00       8.82692      0.070348 	 0.034311	    13.16
72   86  102    2244.00    1298.34       5.19231      0.066439 	 0.023409	    31.29
73   87  104    4249.00    2046.06      10.79231      0.077209 	 0.026731	    34.00
74   88  105    4229.00    2971.00      15.43846      0.075122 	  0.10345	    45.84
75   90  108   17986.00    4911.34      30.65385      0.081199 	 0.095308	   318.07
76   91  109    5597.00    3491.28       8.47692      0.069553 	 0.083636	    62.93
77   92  110   17166.00    5697.22      15.40000      0.078214 	 0.083750	    37.23
78   94  112    4751.00    1878.00      16.90385      0.078267 	 0.042721	    51.20
79   95  115   23837.00   10700.50      25.81154      0.051671 	 0.094472	    81.27
80   96  116   27325.00   14242.29      24.15385      0.056029 	 0.099296	   151.34
81   99  120   23861.00   14741.28      26.36923      0.061378 	 0.10035	    72.99
82  100  121   23700.00   11559.49      35.37692      0.058317 	 0.10495	    57.50
83  101  122   27064.00   13471.05      27.46923      0.059265 	 0.088962	    47.17
84  102  123   27252.00   13916.88      28.57308      0.052830 	 0.085419	    61.52
85  103  124   16270.00    5133.77      25.99231      0.054646 	 0.081887	    53.97
86  105  127   19197.00    8360.58      25.43846      0.057310 	  0.11468	   118.84
87  106  128   27189.00   11101.78      28.70769      0.053695 	 0.072215	    46.06
88  109  131   28563.00   17145.16      25.18846      0.064463 	  0.11286	   118.76
89  110  132   28749.00   14245.14      31.95769      0.064958 	  0.10229	    86.00
90  111  134   11343.00    4821.84      23.66538      0.061049 	 0.069110 	    77.95
91  113  136   21169.00    8199.10      25.17308      0.056685 	 0.078292	    43.51
92  114  137   26504.00   17308.57      23.70769      0.060336 	  0.10016	    69.02
93  115  138   29848.00   20127.58      28.56923      0.060086 	 0.055697	    77.69
94  116  139    7091.00    3180.21      21.01923      0.067856 	 0.050971	    44.40
95  117  140   22981.00   14721.56      18.05000      0.055208 	 0.096654	    56.87
96  120  143   28960.00   19191.69      29.04615      0.073076 	  0.10547	    35.28
97  122  145   26039.00   21266.28      24.56923      0.069186 	  0.10943	    65.25
98  123  146    3374.00    2220.37      15.75000      0.068223 	 0.014697	    94.52
                                   		
		
